SATCAT Designation,FullName,Latitude,Longitude,Launch Log Abbreviated Designation
AFETR,长春龙嘉国际机场,43.99479004,125.6886152,CC
AFWTR,重庆江北国际机场,29.72389422,106.6514223,V
CAS,南京禄口国际机场,31.7337461,118.8659748,"L-1011,GANC"
DLS,广州白云国际机场,23.39372146,113.3036334,YAS
ERAS,西安咸阳国际机场,34.4396677,108.7604863,WI
FRGUI,北京首都国际机场,40.0817082,116.5955101,CSG
HGSTR,杭州萧山国际机场,30.23690526,120.4277824,HMG
JSC,长沙黄花国际机场,28.19205594,113.2208821,JQ
KODAK,上海虹桥国际机场,31.19792914,121.3339172,KLC
KSCUT,福州长乐国际机场,25.93266974,119.6660033,KASC
KWAJ,南宁吴圩国际机场,22.6094487,108.176236,KMR
KYMSC,青岛胶东国际机场,36.3614156,120.0881669,GTsP-4
NSC,宁波栎社国际机场,29.82614801,121.4590066,NARO
PLMSC,北京大兴国际机场,39.50862002,116.4163324,GIK-1
SEAL,成都双流国际机场,30.56013688,103.9474843,"ODYSSEY,KLA"
SEMLS,贵阳龙洞堡国际机场,26.54119795,106.8019297,SEM
SNMLP,郑州新郑机场,34.52968793,113.8527631,SMLC
